gene	transcript	entrez	ensemblGene	ensemblTranscript	chrom	start	end	strand
POM121L2	NM_033482.4	94026	ENSG00000158553.5	ENST00000444565.2	chr6	27308377	27312273	-
CGB7	NM_001385261.1	94027	ENSG00000196337.14	ENST00000684222.1	chr19	49054274	49057749	-
LRRC4B	NM_001080457.2	94030	ENSG00000131409.13	ENST00000652263.1	chr19	50516892	50568435	-
HTRA3	NM_053044.5	94031	ENSG00000170801.10	ENST00000307358.7	chr4	8269754	8307098	+
CAMK2N2	NM_033259.3	94032	ENSG00000163888.4	ENST00000296238.4	chr3	184259213	184261553	-
FTMT	NM_177478.2	94033	ENSG00000181867.3	ENST00000321339.3	chr5	121851882	121852833	+
ZNF101	NM_033204.4	94039	ENSG00000181896.12	ENST00000592502.2	chr19	19668839	19683506	+
SYAP1	NM_032796.4	94056	ENSG00000169895.6	ENST00000380155.4	chr23	16719612	16765340	+
LENG9	NM_001301782.2	94059	ENSG00000275183.2	ENST00000611161.2	chr19	54461732	54463778	-
SFXN1	NM_022754.7	94081	ENSG00000164466.13	ENST00000321442.10	chr5	175478560	175529742	+
HSPB9	NM_033194.3	94086	ENSG00000260325.2	ENST00000565659.2	chr17	42122804	42123352	+
SFXN5	NM_144579.3	94097	ENSG00000144040.13	ENST00000272433.7	chr2	72942036	73071712	-
ORMDL1	NM_016467.5	94101	ENSG00000128699.15	ENST00000392349.9	chr2	189770267	189784339	-
ORMDL3	NM_139280.4	94103	ENSG00000172057.10	ENST00000304046.7	chr17	39921043	39927601	-
PAXBP1	NM_016631.4	94104	ENSG00000159086.15	ENST00000331923.9	chr21	32733899	32771755	-
TMEM203	NM_053045.2	94107	ENSG00000187713.7	ENST00000343666.6	chr9	137204082	137205648	-
CGB8	NM_033183.3	94115	ENSG00000213030.6	ENST00000448456.4	chr19	49047638	49049111	-
SYTL3	NM_001242394.2	94120	ENSG00000164674.17	ENST00000611299.5	chr6	158650054	158764871	+
SYTL4	NM_001370165.1	94121	ENSG00000102362.16	ENST00000372989.6	chr23	100674491	100732121	-
SYTL5	NM_138780.3	94122	ENSG00000147041.12	ENST00000297875.7	chr23	38006553	38128816	+
ARHGAP12	NM_018287.7	94134	ENSG00000165322.18	ENST00000344936.7	chr10	31805398	31928831	-
RP1L1	NM_178857.6	94137	ENSG00000183638.6	ENST00000382483.4	chr8	10606349	10655143	-
ABCC12	NM_001393797.1	94160	ENSG00000140798.17	ENST00000311303.8	chr16	48080882	48155993	-
OPN4	NM_033282.4	94233	ENSG00000122375.13	ENST00000241891.10	chr10	86654547	86666460	+
FOXQ1	NM_033260.4	94234	ENSG00000164379.7	ENST00000296839.5	chr6	1312098	1314758	+
GNG8	NM_033258.2	94235	ENSG00000167414.5	ENST00000693335.1	chr19	46633953	46636202	-
H2AZ2	NM_012412.5	94239	ENSG00000105968.19	ENST00000308153.9	chr7	44831978	44848087	-
EPSTI1	NM_033255.5	94240	ENSG00000133106.15	ENST00000313624.12	chr13	42886388	42992241	-
TP53INP1	NM_033285.4	94241	ENSG00000164938.14	ENST00000342697.5	chr8	94925972	94949378	-
PPP1R14A	NM_033256.3	94274	ENSG00000167641.11	ENST00000301242.9	chr19	38251237	38256374	-
CEP41	NM_018718.3	95681	ENSG00000106477.20	ENST00000223208.10	chr7	130393771	130441016	-
FNIP1	NM_133372.3	96459	ENSG00000217128.13	ENST00000510461.6	chr5	131641714	131797017	-
LIMS3	NM_001394901.1	96626	ENSG00000256977.13	ENST00000480744.3	chr2	109898688	109925625	+
TGS1	NM_024831.8	96764	ENSG00000137574.11	ENST00000260129.6	chr8	55773446	55826445	+
MYL12B	NM_033546.4	103910	ENSG00000118680.14	ENST00000237500.10	chr18	3262133	3278461	+
EGLN2	NM_080732.4	112398	ENSG00000269858.6	ENST00000303961.9	chr19	40799191	40808434	+
EGLN3	NM_022073.4	112399	ENSG00000129521.15	ENST00000250457.9	chr14	33924227	33951074	-
CAVIN3	NM_145040.3	112464	ENSG00000170955.10	ENST00000303927.4	chr11	6318946	6320501	-
PRRT2	NM_145239.3	112476	ENSG00000167371.21	ENST00000358758.12	chr16	29812193	29815881	+
ERI2	NM_001142725.2	112479	ENSG00000196678.14	ENST00000357967.9	chr16	20796340	20806472	-
SAT2	NM_133491.5	112483	ENSG00000141504.12	ENST00000269298.10	chr17	7626234	7627821	-
DTD2	NM_080664.3	112487	ENSG00000129480.14	ENST00000310850.9	chr14	31446036	31457506	-
GTF3C6	NM_138408.4	112495	ENSG00000155115.7	ENST00000329970.8	chr6	110958706	110967872	+
SNX18	NM_001102575.2	112574	ENSG00000178996.14	ENST00000381410.5	chr5	54517759	54546586	+
MRAP2	NM_138409.4	112609	ENSG00000135324.6	ENST00000257776.5	chr6	84033772	84090881	+
RWDD2A	NM_033411.5	112611	ENSG00000013392.8	ENST00000369724.5	chr6	83193357	83198935	+
CMTM7	NM_138410.4	112616	ENSG00000153551.14	ENST00000334983.10	chr3	32391853	32455528	+
GARIN5A	NM_001308429.2	112703	ENSG00000142530.11	ENST00000600100.6	chr19	50466788	50476848	-
TUBA3E	NM_207312.3	112714	ENSG00000152086.9	ENST00000312988.9	chr2	130191745	130198439	-
RDH13	NM_001145971.2	112724	ENSG00000160439.16	ENST00000415061.8	chr19	55044316	55063148	-
IL17F	NM_052872.4	112744	ENSG00000112116.11	ENST00000336123.5	chr6	52236681	52244500	-
IFT43	NM_001102564.3	112752	ENSG00000119650.13	ENST00000314067.11	chr14	75985763	76083742	+
STX1B	NM_052874.5	112755	ENSG00000099365.11	ENST00000215095.11	chr16	30989256	31010638	-
GLMP	NM_144580.3	112770	ENSG00000198715.13	ENST00000362007.6	chr1	156292688	156295679	-
KRT71	NM_033448.3	112802	ENSG00000139648.7	ENST00000267119.6	chr12	52543909	52553145	-
FDX2	NM_001397406.1	112812	ENSG00000267673.7	ENST00000393708.3	chr19	10310045	10316015	-
HOGA1	NM_138413.4	112817	ENSG00000241935.9	ENST00000370646.9	chr10	97584389	97612802	+
WDR89	NM_080666.4	112840	ENSG00000140006.12	ENST00000620954.2	chr14	63597039	63641871	-
L3HYPDH	NM_144581.2	112849	ENSG00000126790.12	ENST00000247194.9	chr14	59472606	59484408	-
TP53RK	NM_033550.4	112858	ENSG00000172315.6	ENST00000372114.4	chr20	46684365	46689444	-
SGF29	NM_138414.3	112869	ENSG00000176476.9	ENST00000317058.8	chr16	28553920	28591790	+
PHF21B	NM_138415.5	112885	ENSG00000056487.17	ENST00000313237.10	chr22	44881162	45010005	-
VPS26B	NM_052875.5	112936	ENSG00000151502.11	ENST00000281187.10	chr11	134224671	134247788	+
GLB1L3	NM_001080407.3	112937	ENSG00000166105.16	ENST00000431683.7	chr11	134276379	134319564	+
NACC1	NM_052876.4	112939	ENSG00000160877.7	ENST00000292431.5	chr19	13118264	13141147	+
CFAP36	NM_080667.7	112942	ENSG00000163001.12	ENST00000349456.9	chr2	55519718	55545079	+
MED8	NM_201542.5	112950	ENSG00000159479.17	ENST00000372457.9	chr1	43383917	43389800	-
KTI12	NM_138417.3	112970	ENSG00000198841.4	ENST00000371614.2	chr1	52032103	52033810	-
RPUSD1	NM_058192.3	113000	ENSG00000007376.8	ENST00000007264.7	chr16	784974	788381	-
PLCD3	NM_133373.5	113026	ENSG00000161714.12	ENST00000619929.5	chr17	45108959	45132515	-
PTH2	NM_178449.4	113091	ENSG00000142538.2	ENST00000270631.2	chr19	49422419	49423441	-
MTFR2	NM_001099286.3	113115	ENSG00000146410.12	ENST00000420702.6	chr6	136231034	136250311	-
CDCA5	NM_080668.4	113130	ENSG00000146670.10	ENST00000275517.8	chr11	65077453	65084040	-
AHNAK2	NM_138420.4	113146	ENSG00000185567.7	ENST00000333244.6	chr14	104937253	104978374	-
SAAL1	NM_138421.3	113174	ENSG00000166788.10	ENST00000524803.6	chr11	18080292	18106082	-
IZUMO4	NM_001039846.2	113177	ENSG00000099840.14	ENST00000395301.8	chr19	2096915	2099590	+
SCAMP4	NM_079834.4	113178	ENSG00000227500.11	ENST00000316097.13	chr19	1905399	1926013	+
ADAT3	NM_138422.4	113179	ENSG00000213638.6	ENST00000329478.4	chr19	1905399	1913447	+
CHST14	NM_130468.4	113189	ENSG00000169105.8	ENST00000306243.7	chr15	40470984	40473158	+
GOLM2	NM_138423.4	113201	ENSG00000166734.20	ENST00000299957.11	chr15	44288719	44415758	+
KIF12	NM_001388308.1	113220	ENSG00000136883.16	ENST00000640217.2	chr9	114091638	114099292	-
MISP3	NM_001291291.2	113230	ENSG00000141854.10	ENST00000587086.3	chr19	14072786	14075062	+
SLC46A1	NM_080669.6	113235	ENSG00000076351.13	ENST00000612814.5	chr17	28394642	28406212	-
C12orf57	NM_138425.4	113246	ENSG00000111678.11	ENST00000229281.6	chr12	6944022	6946002	+
LARP4	NM_052879.5	113251	ENSG00000161813.23	ENST00000398473.7	chr12	50400885	50480004	+
GLCCI1	NM_138426.4	113263	ENSG00000106415.13	ENST00000223145.10	chr7	7968796	8089080	+
TMEM106A	NM_145041.4	113277	ENSG00000184988.8	ENST00000612339.4	chr17	43211875	43220041	+
SLC52A3	NM_033409.4	113278	ENSG00000101276.18	ENST00000645534.1	chr20	760080	768500	-
SFT2D1	NM_145169.3	113402	ENSG00000198818.10	ENST00000361731.4	chr6	166319728	166342545	-
TEX261	NM_144582.3	113419	ENSG00000144043.13	ENST00000272438.9	chr2	70985942	70994873	-
SMIM12	NM_138428.6	113444	ENSG00000163866.9	ENST00000521580.3	chr1	34850362	34859749	-
AZIN2	NM_052998.4	113451	ENSG00000142920.18	ENST00000294517.11	chr1	33081153	33123492	+
TMEM54	NM_033504.4	113452	ENSG00000121900.19	ENST00000373463.8	chr1	32894595	32901389	-
TUBA3D	NM_080386.4	113457	ENSG00000075886.11	ENST00000321253.7	chr2	131476119	131482934	+
HELQ	NM_133636.5	113510	ENSG00000163312.11	ENST00000295488.8	chr4	83407346	83455823	-
CMTM1	NM_052999.4	113540	ENSG00000089505.18	ENST00000379500.7	chr16	66566439	66579135	+
CYP2U1	NM_183075.3	113612	ENSG00000155016.18	ENST00000332884.11	chr4	107931549	107953461	+
ADPRHL1	NM_001394807.1	113622	ENSG00000153531.15	ENST00000612156.3	chr13	113399611	113453488	-
MFSD3	NM_138431.3	113655	ENSG00000167700.9	ENST00000301327.5	chr8	144509070	144511213	+
SDSL	NM_001304993.2	113675	ENSG00000139410.15	ENST00000403593.9	chr12	113422380	113438276	+
KLHDC7B	NM_138433.5	113730	ENSG00000130487.9	ENST00000648057.3	chr22	50545899	50551023	+
CIMAP1A	NM_053280.5	113746	ENSG00000177947.15	ENST00000325113.9	chr11	196761	200258	+
PIK3IP1	NM_052880.5	113791	ENSG00000100100.14	ENST00000215912.10	chr22	31281600	31292488	-
HENMT1	NM_001102592.2	113802	ENSG00000162639.16	ENST00000651461.1	chr1	108648295	108661093	-
FAM83F	NM_138435.4	113828	ENSG00000133477.17	ENST00000333407.11	chr22	39994954	40043534	+
SLC35A4	NM_080670.4	113829	ENSG00000176087.17	ENST00000323146.8	chr5	140564828	140569100	+
ZNF257	NM_033468.4	113835	ENSG00000197134.13	ENST00000594947.6	chr19	22052484	22091480	+
DTX2	NM_001102594.3	113878	ENSG00000091073.20	ENST00000430490.7	chr7	76461709	76505991	+
ZIM3	NM_052882.1	114026	ENSG00000141946.1	ENST00000269834.1	chr19	57134096	57145202	-
TOE1	NM_025077.4	114034	ENSG00000132773.12	ENST00000372090.6	chr1	45340170	45343973	+
BUD23	NM_017528.5	114049	ENSG00000071462.13	ENST00000265758.7	chr7	73683597	73698212	+
TRIM9	NM_001387360.1	114088	ENSG00000100505.14	ENST00000684578.1	chr14	50975266	51095105	-
TXNRD3	NM_052883.3	114112	ENSG00000197763.20	ENST00000524230.9	chr3	126607050	126655124	-
UCN3	NM_053049.4	114131	ENSG00000178473.7	ENST00000380433.5	chr10	5364966	5374692	+
SIGLEC11	NM_052884.3	114132	ENSG00000161640.15	ENST00000447370.6	chr19	49948985	49961172	-
SLC2A13	NM_052885.4	114134	ENSG00000151229.13	ENST00000280871.9	chr12	39755025	40106081	-
LACTB	NM_032857.5	114294	ENSG00000103642.12	ENST00000261893.9	chr15	63121861	63142061	+
EFHC1	NM_018100.4	114327	ENSG00000096093.16	ENST00000371068.11	chr6	52420342	52497198	+
CGB1	NM_033377.2	114335	ENSG00000267631.5	ENST00000301407.8	chr19	49035569	49036895	-
CGB2	NM_033378.2	114336	ENSG00000104818.15	ENST00000359342.7	chr19	49031890	49033238	+
NLRP3	NM_001243133.2	114548	ENSG00000162711.19	ENST00000336119.8	chr1	247416173	247448817	+
MAL2	NM_052886.3	114569	ENSG00000147676.14	ENST00000614891.5	chr8	119208363	119245673	+
SLC22A9	NM_080866.3	114571	ENSG00000149742.10	ENST00000279178.4	chr11	63369785	63410294	+
TIRAP	NM_001318777.2	114609	ENSG00000150455.15	ENST00000392679.6	chr11	126283093	126294933	+
ERMAP	NM_001017922.2	114625	ENSG00000164010.15	ENST00000372517.8	chr1	42817122	42844991	+
LRRC37B	NM_001321350.2	114659	ENSG00000185158.13	ENST00000543378.7	chr17	32007383	32053487	+
CYGB	NM_134268.5	114757	ENSG00000161544.10	ENST00000293230.10	chr17	76527356	76537709	-
CARD16	NM_052889.4	114769	ENSG00000204397.11	ENST00000673097.2	chr11	105041563	105045335	-
PGLYRP2	NM_052890.4	114770	ENSG00000161031.13	ENST00000340880.5	chr19	15468645	15479501	-
PGLYRP3	NM_052891.3	114771	ENSG00000159527.4	ENST00000683862.1	chr1	153297116	153312952	-
BTBD9	NM_001099272.2	114781	ENSG00000183826.19	ENST00000481247.6	chr6	38168451	38639929	-
LMTK3	NM_001388485.1	114783	ENSG00000142235.13	ENST00000600059.6	chr19	48485271	48511835	-
CSMD2	NM_001281956.2	114784	ENSG00000121904.19	ENST00000373381.9	chr1	33513998	34165230	-
MBD6	NM_052897.4	114785	ENSG00000166987.15	ENST00000355673.8	chr12	57522824	57530148	+
XKR4	NM_052898.2	114786	ENSG00000206579.10	ENST00000327381.7	chr8	55102028	55542054	+
GPRIN1	NM_052899.3	114787	ENSG00000169258.7	ENST00000303991.5	chr5	176595802	176610156	-
CSMD3	NM_198123.2	114788	ENSG00000164796.18	ENST00000297405.10	chr8	112222928	113436939	-
SLC25A25	NM_001330988.2	114789	ENSG00000148339.13	ENST00000373069.10	chr9	128068232	128109245	+
STK11IP	NM_052902.4	114790	ENSG00000144589.22	ENST00000456909.6	chr2	219597857	219616451	+
TUBGCP5	NM_052903.6	114791	ENSG00000275835.5	ENST00000615383.5	chr15	22999177	23039569	-
KLHL32	NM_052904.4	114792	ENSG00000186231.17	ENST00000369261.9	chr6	96924728	97140753	+
FMNL2	NM_052905.4	114793	ENSG00000157827.21	ENST00000288670.14	chr2	152335174	152649826	+
ELFN2	NM_052906.5	114794	ENSG00000166897.16	ENST00000402918.7	chr22	37367960	37427479	-
TMEM132B	NM_001366854.1	114795	ENSG00000139364.11	ENST00000682704.1	chr12	125186386	125662369	+
SLITRK1	NM_001281503.2	114798	ENSG00000178235.8	ENST00000674365.1	chr13	83877205	83882474	-
ESCO1	NM_052911.3	114799	ENSG00000141446.12	ENST00000269214.10	chr18	21529284	21600704	-
CCDC85A	NM_001080433.2	114800	ENSG00000055813.6	ENST00000407595.3	chr2	56183990	56386172	+
TMEM200A	NM_001258277.2	114801	ENSG00000164484.12	ENST00000296978.4	chr6	130366017	130443067	+
MYSM1	NM_001085487.3	114803	ENSG00000162601.12	ENST00000472487.6	chr1	58654743	58700062	-
RNF157	NM_052916.3	114804	ENSG00000141576.16	ENST00000269391.11	chr17	76142474	76240493	-
GALNT13	NM_052917.4	114805	ENSG00000144278.15	ENST00000392825.8	chr2	153871922	154453979	+
SORCS1	NM_052918.5	114815	ENSG00000108018.17	ENST00000263054.11	chr10	106573663	107164706	-
KLHL29	NM_052920.2	114818	ENSG00000119771.15	ENST00000486442.6	chr2	23385179	23708606	+
SCAND3	NM_052923.2	114821	ENSG00000232040.4	ENST00000452236.3	chr6	28570535	28587298	-
RHPN1	NM_052924.3	114822	ENSG00000158106.15	ENST00000289013.11	chr8	143368876	143384221	+
LENG8	NM_052925.4	114823	ENSG00000167615.18	ENST00000326764.10	chr19	54449199	54462016	+
PNMA5	NM_001184924.2	114824	ENSG00000198883.12	ENST00000535214.6	chr23	152988824	152994116	-
PWWP2A	NM_001130864.2	114825	ENSG00000170234.13	ENST00000307063.9	chr5	160091339	160119450	-
SMYD4	NM_052928.3	114826	ENSG00000186532.12	ENST00000305513.12	chr17	1779485	1829902	-
FHAD1	NM_001391957.1	114827	ENSG00000142621.21	ENST00000688493.1	chr1	15247223	15398328	+
SLAMF6	NM_001184714.2	114836	ENSG00000162739.14	ENST00000368057.8	chr1	160485036	160523255	-
OSBPL1A	NM_080597.4	114876	ENSG00000141447.19	ENST00000319481.8	chr18	24162052	24397824	-
OSBPL5	NM_020896.4	114879	ENSG00000021762.20	ENST00000263650.12	chr11	3087107	3165310	-
OSBPL6	NM_032523.4	114880	ENSG00000079156.17	ENST00000190611.9	chr2	178194512	178402893	+
OSBPL7	NM_145798.3	114881	ENSG00000006025.13	ENST00000007414.8	chr17	47807372	47821794	-
OSBPL8	NM_020841.5	114882	ENSG00000091039.17	ENST00000261183.8	chr12	76351797	76559771	-
OSBPL9	NM_024586.6	114883	ENSG00000117859.19	ENST00000428468.6	chr1	51617092	51789219	+
OSBPL10	NM_017784.5	114884	ENSG00000144645.16	ENST00000396556.7	chr3	31660825	31981262	-
OSBPL11	NM_022776.5	114885	ENSG00000144909.8	ENST00000296220.6	chr3	125528858	125595497	-
C1QTNF1	NM_030968.5	114897	ENSG00000173918.15	ENST00000579760.6	chr17	79024169	79049788	+
C1QTNF2	NM_031908.6	114898	ENSG00000145861.9	ENST00000652664.2	chr5	160347754	160370626	-
C1QTNF3	NM_181435.6	114899	ENSG00000082196.21	ENST00000382065.8	chr5	34017858	34043213	-
C1QTNF4	NM_031909.3	114900	ENSG00000172247.4	ENST00000302514.4	chr11	47589667	47594411	-
C1QTNF5	NM_001278431.2	114902	ENSG00000223953.6	ENST00000528368.3	chr11	119338942	119340883	-
C1QTNF6	NM_031910.4	114904	ENSG00000133466.14	ENST00000337843.7	chr22	37180166	37188247	-
C1QTNF7	NM_031911.5	114905	ENSG00000163145.13	ENST00000444304.3	chr4	15428033	15446167	+
FBXO32	NM_058229.4	114907	ENSG00000156804.7	ENST00000517956.5	chr8	123497889	123541206	-
TMEM123	NM_052932.3	114908	ENSG00000152558.15	ENST00000398136.7	chr11	102396332	102452765	-
SMIM19	NM_001135674.2	114926	ENSG00000176209.12	ENST00000417410.7	chr8	42541585	42555195	+
GPRASP2	NM_001004051.4	114928	ENSG00000158301.20	ENST00000483720.7	chr23	102712448	102717733	+
MRFAP1L1	NM_203462.3	114932	ENSG00000178988.11	ENST00000320848.7	chr4	6707701	6709865	-
TSGA13	NM_052933.4	114960	ENSG00000213265.9	ENST00000356588.8	chr7	130668643	130686545	-
PTPMT1	NM_175732.3	114971	ENSG00000110536.14	ENST00000326674.10	chr11	47565599	47573461	+
FLYWCH2	NM_138439.3	114984	ENSG00000162076.13	ENST00000396958.8	chr16	2883215	2899365	+
WDR31	NM_001012361.4	114987	ENSG00000148225.17	ENST00000374193.9	chr9	113313222	113340275	-
VASN	NM_138440.3	114990	ENSG00000168140.5	ENST00000304735.4	chr16	4371848	4383538	+
ZNF618	NM_001318042.2	114991	ENSG00000157657.15	ENST00000374126.10	chr9	113876309	114056593	+
CGAS	NM_138441.3	115004	ENSG00000164430.17	ENST00000370315.4	chr6	73423711	73452297	-
SLC26A9	NM_052934.4	115019	ENSG00000174502.19	ENST00000367135.8	chr1	205913052	205943456	-
NT5C3B	NM_052935.5	115024	ENSG00000141698.17	ENST00000435506.7	chr17	41825057	41836232	-
CCDC124	NM_001136203.2	115098	ENSG00000007080.11	ENST00000445755.7	chr19	17933015	17943985	+
HAUS1	NM_138443.4	115106	ENSG00000152240.13	ENST00000282058.11	chr18	46104385	46128333	+
SLC26A7	NM_052832.4	115111	ENSG00000147606.9	ENST00000276609.8	chr8	91249319	91398155	+
MARCHF3	NM_178450.5	115123	ENSG00000173926.6	ENST00000308660.6	chr5	126867714	127030558	-
ZNF554	NM_001102651.2	115196	ENSG00000172006.12	ENST00000317243.10	chr19	2819868	2836735	+
ATG4A	NM_052936.5	115201	ENSG00000101844.18	ENST00000372232.8	chr23	108091778	108154671	+
KCTD12	NM_138444.4	115207	ENSG00000178695.6	ENST00000377474.4	chr13	76880175	76886405	-
OMA1	NM_145243.5	115209	ENSG00000162600.12	ENST00000371226.8	chr1	58480719	58546726	-
DDIT4L	NM_145244.4	115265	ENSG00000145358.6	ENST00000273990.6	chr4	100185870	100190468	-
RAB42	NM_001193532.3	115273	ENSG00000188060.8	ENST00000465518.3	chr1	28592265	28595449	+
SLC25A26	NM_001379210.1	115286	ENSG00000144741.19	ENST00000354883.11	chr3	66221001	66378923	+
FBXO17	NM_024907.7	115290	ENSG00000269190.6	ENST00000292852.9	chr19	38941401	38975742	-
PCMTD1	NM_052937.4	115294	ENSG00000168300.14	ENST00000522514.6	chr8	51817583	51899036	-
GPR146	NM_001303473.2	115330	ENSG00000164849.10	ENST00000444847.2	chr7	1044546	1059261	+
FCRL1	NM_052938.5	115350	ENSG00000163534.16	ENST00000368176.8	chr1	157794403	157820120	-
FCRL3	NM_052939.4	115352	ENSG00000160856.21	ENST00000368184.8	chr1	157676481	157700769	-
LRRC42	NM_001256409.2	115353	ENSG00000116212.16	ENST00000371370.8	chr1	53946350	53968168	+
GBP4	NM_052941.5	115361	ENSG00000162654.9	ENST00000355754.7	chr1	89181144	89198942	-
GBP5	NM_052942.5	115362	ENSG00000154451.15	ENST00000370459.8	chr1	89256189	89272860	-
LRRC56	NM_198075.4	115399	ENSG00000161328.11	ENST00000270115.8	chr11	537527	554912	+
MALSU1	NM_138446.2	115416	ENSG00000156928.5	ENST00000466681.2	chr7	23299339	23311729	+
UHRF2	NM_152896.3	115426	ENSG00000147854.18	ENST00000276893.10	chr9	6413199	6507054	+
ZNF689	NM_138447.3	115509	ENSG00000156853.13	ENST00000287461.8	chr16	30602558	30610389	-
FCHO2	NM_138782.3	115548	ENSG00000157107.14	ENST00000430046.7	chr5	72956041	73090522	+
ARHGEF25	NM_182947.4	115557	ENSG00000240771.8	ENST00000286494.9	chr12	57611435	57617245	+
ZNF501	NM_001258280.2	115560	ENSG00000186446.12	ENST00000620116.5	chr3	44729635	44737083	+
TENT5B	NM_052943.4	115572	ENSG00000158246.8	ENST00000289166.6	chr1	27005020	27012850	-
SLC5A11	NM_001352248.3	115584	ENSG00000158865.13	ENST00000424767.7	chr16	24845963	24911626	+
TNFRSF13C	NM_052945.4	115650	ENSG00000159958.7	ENST00000291232.5	chr22	41922032	41926806	-
KIR3DL3	NM_153443.5	115653	ENSG00000242019.2	ENST00000291860.2	chr19	54724442	54736632	+
NOSTRIN	NM_001039724.4	115677	ENSG00000163072.16	ENST00000317647.12	chr2	168802637	168865514	+
ALPK2	NM_052947.4	115701	ENSG00000198796.7	ENST00000361673.4	chr18	58481247	58629091	-
ARHGAP33	NM_001366178.1	115703	ENSG00000004777.19	ENST00000007510.9	chr19	35775564	35788822	+
EVI5L	NM_001159944.3	115704	ENSG00000142459.9	ENST00000538904.7	chr19	7830218	7864976	+
TRMT61A	NM_152307.3	115708	ENSG00000166166.13	ENST00000389749.9	chr14	103529196	103537073	+
RASGRP4	NM_170604.3	115727	ENSG00000171777.17	ENST00000615439.5	chr19	38409058	38426219	-
C12orf56	NM_001170633.2	115749	ENSG00000185306.13	ENST00000543942.7	chr12	64264762	64390758	-
DIS3L	NM_001143688.3	115752	ENSG00000166938.13	ENST00000319212.9	chr15	66293568	66333898	+
ARL11	NM_138450.6	115761	ENSG00000152213.4	ENST00000282026.2	chr13	49628507	49633872	+
FANCD2OS	NM_001164839.2	115795	ENSG00000163705.13	ENST00000450660.3	chr3	10103937	10108255	-
IQCD	NM_001330452.2	115811	ENSG00000166578.10	ENST00000416617.3	chr12	113195446	113221094	-
DHRS1	NM_001136050.3	115817	ENSG00000157379.14	ENST00000288111.12	chr14	24290598	24299780	-
WDFY2	NM_052950.4	115825	ENSG00000139668.9	ENST00000298125.7	chr13	51584462	51767709	+
RAB3C	NM_138453.4	115827	ENSG00000152932.8	ENST00000282878.6	chr5	58583075	58859394	+
NXNL1	NM_138454.2	115861	ENSG00000171773.3	ENST00000301944.3	chr19	17455425	17460926	-
CTHRC1	NM_138455.4	115908	ENSG00000164932.13	ENST00000330295.10	chr8	103371538	103382989	+
TSR3	NM_001001410.3	115939	ENSG00000007520.4	ENST00000007390.3	chr16	1349240	1351878	-
ODAD3	NM_145045.5	115948	ENSG00000198003.12	ENST00000356392.9	chr19	11420605	11435121	-
ZNF653	NM_138783.4	115950	ENSG00000161914.10	ENST00000293771.10	chr19	11483429	11505839	-
RNF166	NM_178841.4	115992	ENSG00000158717.11	ENST00000312838.9	chr16	88696501	88706408	-
RMI2	NM_152308.3	116028	ENSG00000175643.10	ENST00000312499.6	chr16	11345459	11351760	+
OSR2	NM_001142462.3	116039	ENSG00000164920.10	ENST00000297565.9	chr8	98944442	98952100	+
LRRC58	NM_001099678.2	116064	ENSG00000163428.4	ENST00000295628.4	chr3	120324509	120349354	-
LYSMD3	NM_198273.2	116068	ENSG00000176018.13	ENST00000315948.11	chr5	90515626	90529584	-
BATF2	NM_138456.4	116071	ENSG00000168062.10	ENST00000301887.9	chr11	64987945	64996971	-
SLC22A12	NM_144585.4	116085	ENSG00000197891.12	ENST00000377574.6	chr11	64591220	64602344	+
DNTTIP1	NM_052951.3	116092	ENSG00000101457.13	ENST00000372622.8	chr20	45791954	45811418	+
FOXP4	NM_001012426.2	116113	ENSG00000137166.18	ENST00000307972.10	chr6	41546381	41602384	+
ZNF526	NM_133444.3	116115	ENSG00000167625.12	ENST00000301215.8	chr19	42220312	42228201	+
LRRC3B	NM_052953.4	116135	ENSG00000179796.13	ENST00000396641.7	chr3	26622772	26710776	+
KLHDC3	NM_057161.4	116138	ENSG00000124702.19	ENST00000326974.9	chr6	43014249	43021294	+
DNAAF10	NM_138458.4	116143	ENSG00000243667.7	ENST00000295121.11	chr2	68129805	68157527	-
NUS1	NM_138459.5	116150	ENSG00000153989.8	ENST00000368494.4	chr6	117675469	117710727	+
FAM210B	NM_080821.3	116151	ENSG00000124098.10	ENST00000371384.4	chr20	56358974	56368663	+
PHACTR3	NM_080672.5	116154	ENSG00000087495.17	ENST00000371015.6	chr20	59604540	59847711	+
CYYR1	NM_001320768.2	116159	ENSG00000166265.13	ENST00000652641.2	chr21	26466216	26573286	-
CMTM5	NM_001288746.2	116173	ENSG00000166091.21	ENST00000339180.9	chr14	23377046	23379772	+
TGM7	NM_052955.3	116179	ENSG00000159495.8	ENST00000452443.3	chr15	43276271	43302255	-
TM4SF19	NM_138461.4	116211	ENSG00000145107.16	ENST00000273695.4	chr3	196323547	196338388	-
PABIR1	NM_138333.5	116224	ENSG00000187866.10	ENST00000394264.7	chr9	68780065	68785566	+
ZMYND19	NM_138462.3	116225	ENSG00000165724.6	ENST00000298585.3	chr9	137582081	137590512	-
COX20	NM_198076.6	116228	ENSG00000203667.10	ENST00000411948.7	chr1	244835658	244845057	+
ABHD15	NM_198147.3	116236	ENSG00000168792.5	ENST00000307201.5	chr17	29560547	29567037	-
TLCD1	NM_138463.4	116238	ENSG00000160606.11	ENST00000292090.8	chr17	28724348	28726233	-
GINM1	NM_138785.5	116254	ENSG00000055211.14	ENST00000367419.10	chr6	149566375	149591748	+
MOGAT1	NM_058165.3	116255	ENSG00000124003.13	ENST00000446656.4	chr2	222671658	222709930	+
